timestamp,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,speedAccuracy,course,courseAccuracy,floor
2025-01-15T10:00:00.000Z,12.9236,77.4989,919.71,4.09,3.99,0.44,0.44,165.34,7.29,-1
2025-01-15T10:00:01.000Z,12.9236,77.4989,919.49,9.47,2.87,0,0.96,165.06,10.32,-1
2025-01-15T10:00:02.000Z,12.9236,77.4989,919.12,6.59,5.77,0,0.89,164.0,9.2,-1
2025-01-15T10:00:03.000Z,12.923537,77.498917,919.37,7.97,4.89,7.28,0.38,165.08,7.49,-1
2025-01-15T10:00:04.000Z,12.923468,77.498937,919.03,9.8,4.31,7.91,0.31,164.23,6.07,-1
2025-01-15T10:00:05.000Z,12.92346,77.49894,918.8,4.13,3.33,1.0,0.97,162.66,7.82,-1
2025-01-15T10:00:06.000Z,12.923449,77.498935,918.59,5.8,2.26,1.33,0.58,204.24,11.92,-1
2025-01-15T10:00:07.000Z,12.923444,77.498933,918.97,4.6,5.66,0.56,0.39,204.25,11.77,-1
2025-01-15T10:00:08.000Z,12.923444,77.498933,918.96,4.08,5.71,0.35,0.73,205.36,5.84,-1
2025-01-15T10:00:09.000Z,12.923444,77.498933,918.9,6.12,5.84,0,0.4,207.18,9.95,-1
2025-01-15T10:00:10.000Z,12.923444,77.498933,919.11,9.67,5.57,0.02,0.54,207.87,11.09,-1
2025-01-15T10:00:11.000Z,12.923444,77.498933,919.35,9.44,4.74,0,0.98,209.07,10.27,-1
2025-01-15T10:00:12.000Z,12.923444,77.498933,919.44,3.55,2.31,0,0.71,208.94,6.51,-1
2025-01-15T10:00:13.000Z,12.923444,77.498933,919.79,3.36,5.19,0.08,0.9,208.42,7.62,-1
2025-01-15T10:00:14.000Z,12.923444,77.498933,919.43,4.03,4.93,0.2,0.6,209.25,5.86,-1
2025-01-15T10:00:15.000Z,12.923444,77.498933,919.03,6.65,3.19,0.18,0.53,209.25,7.04,-1
2025-01-15T10:00:16.000Z,12.923444,77.498933,919.51,6.44,5.39,0.16,0.92,210.05,10.75,-1
2025-01-15T10:00:17.000Z,12.923385,77.498897,919.14,4.17,2.79,7.68,0.91,210.27,10.6,-1
2025-01-15T10:00:18.000Z,12.92331,77.498877,919.01,5.45,2.31,8.66,0.83,194.86,8.0,-1
2025-01-15T10:00:19.000Z,12.923229,77.498852,919.24,4.75,2.39,9.37,0.84,196.39,12.68,-1
2025-01-15T10:00:20.000Z,12.923144,77.498824,919.57,3.51,5.84,9.98,0.85,197.97,14.22,-1
2025-01-15T10:00:21.000Z,12.923049,77.498795,919.24,3.67,2.01,10.93,0.51,196.6,6.08,-1
2025-01-15T10:00:22.000Z,12.922959,77.498768,918.87,4.61,3.8,10.51,0.81,196.16,8.15,-1
2025-01-15T10:00:23.000Z,12.922866,77.498744,918.74,3.07,5.31,10.67,0.72,194.36,14.75,-1
2025-01-15T10:00:24.000Z,12.922771,77.498721,918.89,6.0,5.53,10.89,0.86,193.07,14.47,-1
2025-01-15T10:00:25.000Z,12.922671,77.498697,918.83,4.97,5.87,11.34,0.88,193.27,14.09,-1
2025-01-15T10:00:26.000Z,12.92258,77.498674,918.85,9.15,3.88,10.45,0.74,194.09,7.44,-1
2025-01-15T10:00:27.000Z,12.922494,77.49865,918.95,7.19,2.27,9.96,0.91,194.99,14.63,-1
2025-01-15T10:00:28.000Z,12.922402,77.498623,918.58,6.04,2.07,10.67,0.66,195.92,8.21,-1
2025-01-15T10:00:29.000Z,12.922306,77.498595,918.15,9.86,3.31,11.08,0.86,195.63,11.41,-1
2025-01-15T10:00:30.000Z,12.922207,77.498568,918.34,4.94,6.0,11.46,0.4,195.22,8.58,-1
2025-01-15T10:00:31.000Z,12.922101,77.498536,918.72,8.67,3.07,12.22,0.51,196.54,10.19,-1
2025-01-15T10:00:32.000Z,12.922002,77.498508,918.73,3.67,2.61,11.42,0.71,195.38,13.5,-1
2025-01-15T10:00:33.000Z,12.921898,77.498482,919.22,8.25,5.39,11.94,0.38,193.64,7.71,-1
2025-01-15T10:00:34.000Z,12.921799,77.49846,919.55,8.95,4.74,11.33,0.88,192.11,10.78,-1
2025-01-15T10:00:35.000Z,12.921692,77.49844,919.16,9.28,3.23,12.02,0.69,190.19,5.78,-1
2025-01-15T10:00:36.000Z,12.921529,77.498405,919.58,3.67,2.75,18.56,0.35,191.84,10.36,-1
2025-01-15T10:00:37.000Z,12.921357,77.498372,919.59,6.92,3.91,19.51,0.63,190.61,11.99,-1
2025-01-15T10:00:38.000Z,12.921187,77.498337,919.33,3.13,5.26,19.28,0.79,191.32,9.11,-1
2025-01-15T10:00:39.000Z,12.921017,77.498296,919.13,5.32,3.69,19.47,0.39,193.11,13.87,-1
2025-01-15T10:00:40.000Z,12.920843,77.498258,919.14,3.27,2.21,19.84,0.34,192.25,7.85,-1
2025-01-15T10:00:41.000Z,12.920668,77.498222,919.54,7.16,3.74,19.85,0.49,191.27,6.43,-1
2025-01-15T10:00:42.000Z,12.920486,77.498191,919.18,5.61,2.5,20.52,0.92,189.5,13.58,-1
2025-01-15T10:00:43.000Z,12.920515,77.497995,919.15,5.84,2.43,21.46,0.78,278.8,11.42,-1
2025-01-15T10:00:44.000Z,12.920548,77.497792,918.72,6.98,5.72,22.35,0.83,279.44,13.41,-1
2025-01-15T10:00:45.000Z,12.920579,77.497581,918.4,5.26,5.73,23.11,0.41,278.54,9.9,-1
2025-01-15T10:00:46.000Z,12.920607,77.49737,917.99,4.05,4.04,23.16,0.63,277.66,9.56,-1
2025-01-15T10:00:47.000Z,12.92063,77.497153,917.63,9.13,5.05,23.7,0.4,276.23,14.24,-1
2025-01-15T10:00:48.000Z,12.92065,77.496942,917.53,9.5,3.63,22.99,0.75,275.53,14.47,-1
2025-01-15T10:00:49.000Z,12.920668,77.496735,917.62,9.59,5.48,22.48,0.66,275.26,14.56,-1
2025-01-15T10:00:50.000Z,12.920681,77.49653,917.84,9.15,5.63,22.34,0.36,273.54,12.04,-1
2025-01-15T10:00:51.000Z,12.920696,77.496323,918.18,8.07,5.48,22.49,0.56,274.36,5.63,-1
2025-01-15T10:00:52.000Z,12.920696,77.496323,917.71,4.89,4.71,0.14,0.32,266.09,6.62,-1
2025-01-15T10:00:53.000Z,12.920696,77.496313,917.36,4.53,4.41,1.06,0.4,267.17,6.66,-1
2025-01-15T10:00:54.000Z,12.920695,77.496304,917.35,4.15,5.41,1.01,0.56,267.39,11.75,-1
2025-01-15T10:00:55.000Z,12.920695,77.496293,917.3,4.75,3.77,1.23,0.68,267.51,11.25,-1
2025-01-15T10:00:56.000Z,12.920693,77.496245,917.46,6.75,3.43,5.14,0.49,267.9,5.4,-1
2025-01-15T10:00:57.000Z,12.920693,77.496197,917.35,5.65,5.22,5.22,0.37,269.89,11.26,-1
2025-01-15T10:00:58.000Z,12.920692,77.496157,917.6,3.53,5.31,4.41,0.94,268.81,5.91,-1
2025-01-15T10:00:59.000Z,12.920692,77.49611,918.01,4.18,5.95,5.11,0.84,269.29,12.87,-1
2025-01-15T10:01:00.000Z,12.92069,77.496058,918.21,9.77,5.29,5.62,0.36,268.03,8.63,-1
2025-01-15T10:01:01.000Z,12.920666,77.496017,918.55,5.33,4.93,5.21,0.63,239.62,5.49,-1
2025-01-15T10:01:02.000Z,12.920645,77.495981,918.93,9.45,3.38,4.54,0.76,239.22,5.51,-1
2025-01-15T10:01:03.000Z,12.920604,77.495953,918.68,3.37,3.27,5.45,0.93,212.82,5.98,-1
2025-01-15T10:01:04.000Z,12.920569,77.495928,918.56,5.36,3.03,4.76,0.7,214.51,7.07,-1
2025-01-15T10:01:05.000Z,12.920539,77.495906,918.57,3.63,5.79,4.2,0.43,215.88,14.83,-1
2025-01-15T10:01:06.000Z,12.920504,77.495879,918.33,5.49,4.0,4.85,0.97,217.03,14.6,-1
2025-01-15T10:01:07.000Z,12.920469,77.49585,918.48,4.55,3.94,4.98,0.96,218.71,11.79,-1
2025-01-15T10:01:08.000Z,12.920433,77.49582,918.65,9.0,2.2,5.15,0.93,219.13,8.16,-1
2025-01-15T10:01:09.000Z,12.920399,77.495792,918.97,3.59,3.29,4.84,0.78,219.44,11.54,-1
2025-01-15T10:01:10.000Z,12.920365,77.495763,919.12,7.4,3.98,4.96,0.89,218.8,12.2,-1
2025-01-15T10:01:11.000Z,12.920291,77.495704,919.03,9.93,5.92,10.42,0.71,218.23,10.17,-1
2025-01-15T10:01:12.000Z,12.920214,77.495641,919.2,9.81,4.65,11.0,0.96,218.32,8.74,-1
2025-01-15T10:01:13.000Z,12.92013,77.495573,918.93,4.76,2.06,11.85,0.32,218.61,5.04,-1
2025-01-15T10:01:14.000Z,12.920049,77.495509,919.38,8.36,5.73,11.41,0.87,217.17,11.17,-1
2025-01-15T10:01:15.000Z,12.919961,77.495439,918.91,4.91,5.43,12.35,0.41,217.93,14.48,-1
2025-01-15T10:01:16.000Z,12.919916,77.495334,919.26,4.11,5.57,12.5,0.86,246.32,6.5,-1
2025-01-15T10:01:17.000Z,12.919874,77.495229,919.57,8.93,2.46,12.28,0.38,247.75,9.15,-1
2025-01-15T10:01:18.000Z,12.919836,77.495124,919.29,4.49,2.76,12.13,0.84,249.32,9.6,-1
2025-01-15T10:01:19.000Z,12.919792,77.495015,919.2,4.52,2.68,12.82,0.91,247.69,12.78,-1
2025-01-15T10:01:20.000Z,12.919752,77.494912,919.28,4.34,4.48,12.03,0.96,248.16,7.83,-1
2025-01-15T10:01:21.000Z,12.919714,77.494812,919.49,4.69,4.29,11.67,0.51,249.02,12.15,-1
2025-01-15T10:01:22.000Z,12.919681,77.494718,919.2,4.45,2.65,10.76,0.93,250.07,14.12,-1
2025-01-15T10:01:23.000Z,12.91965,77.49462,918.8,8.26,4.67,11.26,0.63,251.91,12.94,-1
2025-01-15T10:01:24.000Z,12.919619,77.494514,918.61,7.99,2.37,11.96,0.53,253.47,11.5,-1
2025-01-15T10:01:25.000Z,12.919519,77.494497,918.33,9.86,4.72,11.29,0.65,189.24,6.04,-1
2025-01-15T10:01:26.000Z,12.919422,77.494479,918.31,9.86,5.79,10.97,0.62,190.4,14.76,-1
2025-01-15T10:01:27.000Z,12.919325,77.494461,918.47,6.38,3.14,10.96,0.31,190.22,7.22,-1
2025-01-15T10:01:28.000Z,12.919199,77.494438,918.78,9.86,5.11,14.32,0.37,190.29,7.86,-1
2025-01-15T10:01:29.000Z,12.919078,77.494414,918.94,8.38,4.43,13.67,0.42,190.65,10.55,-1
2025-01-15T10:01:30.000Z,12.918959,77.49439,918.98,9.11,3.32,13.55,0.35,191.36,13.97,-1
2025-01-15T10:01:31.000Z,12.918843,77.494367,919.06,7.93,2.37,13.11,0.64,191.05,12.56,-1
2025-01-15T10:01:32.000Z,12.918718,77.494341,919.39,3.35,4.65,14.28,0.87,191.17,9.45,-1
2025-01-15T10:01:33.000Z,12.918588,77.494313,919.58,9.03,2.62,14.68,0.39,191.88,9.84,-1
2025-01-15T10:01:34.000Z,12.918495,77.494292,919.1,3.19,3.79,10.63,0.62,192.33,5.2,-1
2025-01-15T10:01:35.000Z,12.918409,77.494272,919.38,7.44,5.61,9.87,0.8,193.15,9.24,-1
2025-01-15T10:01:36.000Z,12.918317,77.49425,919.0,6.91,3.48,10.44,0.57,192.95,12.76,-1
2025-01-15T10:01:37.000Z,12.918281,77.49416,919.49,5.37,4.52,10.6,0.36,247.25,13.61,-1
2025-01-15T10:01:38.000Z,12.918243,77.494068,919.87,9.98,2.76,10.82,0.37,247.24,7.94,-1
2025-01-15T10:01:39.000Z,12.918202,77.493976,920.1,6.68,3.69,10.96,0.41,245.34,10.01,-1
2025-01-15T10:01:40.000Z,12.918159,77.493888,920.06,8.91,3.6,10.64,0.7,243.61,7.47,-1
2025-01-15T10:01:41.000Z,12.918113,77.493799,920.21,6.77,4.17,10.97,0.59,241.71,10.93,-1
2025-01-15T10:01:42.000Z,12.91807,77.493713,919.8,4.57,3.47,10.51,0.53,243.07,9.41,-1
2025-01-15T10:01:43.000Z,12.918028,77.493627,919.46,7.87,5.21,10.39,0.45,243.35,12.64,-1
